scenario,z_s,chi_Mpc,sigma0,r,d,sigma_res,ell_Mpc,z_slip,slip_loc,N_pat,sqrtN,RMS_path,DESI_res_OK,boost
NP-B,2.0,5312.076,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.8,7.48938140548237e-05,4084.354510715421,63.90895485544589,0.004786385381381887,True,63.90895485544589
NP-B,2.0,5312.076,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,1.0,5.459759044596649e-05,4084.354510715421,63.90895485544589,0.0034892749430273963,True,63.90895485544589
DESI_ceil,2.0,5312.076,0.00015,0.0,3,0.00015,12.557069918314655,0.3,0.00029694171706006026,423.0346367178076,20.567805831391144,0.006107439579731207,True,20.567805831391144
DESI_ceil,2.0,5312.076,0.00015,0.0,3,0.00015,12.557069918314655,0.5,0.0001932980599647266,423.0346367178076,20.567805831391144,0.003975716964939099,True,20.567805831391144
DESI_ceil,2.0,5312.076,0.00015,0.0,3,0.00015,12.557069918314655,0.8,0.00011186230322032788,423.0346367178076,20.567805831391144,0.0023007621324879044,True,20.567805831391144
DESI_ceil,2.0,5312.076,0.00015,0.0,3,0.00015,12.557069918314655,1.0,8.154761904761904e-05,423.0346367178076,20.567805831391144,0.0016772555945836825,True,20.567805831391144
Sorkin,3.0,6506.063,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.3,2.3311943739560583e-61,6.506062553372048e+43,1000000.0,2.3311943739560582e-55,True,1000000.0
Sorkin,3.0,6506.063,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.5,1.5175211969130252e-61,6.506062553372048e+43,1000000.0,1.5175211969130253e-55,True,1000000.0
Sorkin,3.0,6506.063,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,0.8,8.78195137102445e-62,6.506062553372048e+43,1000000.0,8.78195137102445e-56,True,1000000.0
Sorkin,3.0,6506.063,1.1776019872030364e-61,0.0,2,1.1776019872030364e-61,5.2379257312949976e-58,1.0,6.402042549476826e-62,6.506062553372048e+43,1000000.0,6.402042549476826e-56,True,1000000.0
NP-A,3.0,6506.063,1e-05,0.0,3,1e-05,2.064559830050636,0.3,1.9796114470670686e-05,3151.307343421711,56.136506334307185,0.001111284705377475,True,56.136506334307185
NP-A,3.0,6506.063,1e-05,0.0,3,1e-05,2.064559830050636,0.5,1.2886537330981777e-05,3151.307343421711,56.136506334307185,0.0007234051845079445,True,56.136506334307185
NP-A,3.0,6506.063,1e-05,0.0,3,1e-05,2.064559830050636,0.8,7.4574868813551934e-06,3151.307343421711,56.136506334307185,0.00041863725955320854,True,56.136506334307185
NP-A,3.0,6506.063,1e-05,0.0,3,1e-05,2.064559830050636,1.0,5.436507936507937e-06,3151.307343421711,56.136506334307185,0.0003051865622142891,True,56.136506334307185
NP-B,3.0,6506.063,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.3,0.0001988077940681529,5002.388592022735,70.7275659981505,0.014061191375901998,True,70.7275659981505
NP-B,3.0,6506.063,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.5,0.00012941651068673537,5002.388592022735,70.7275659981505,0.009153314800846425,True,70.7275659981505
NP-B,3.0,6506.063,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,0.8,7.48938140548237e-05,5002.388592022735,70.7275659981505,0.005297057176415754,True,70.7275659981505
NP-B,3.0,6506.063,5e-06,1.5,3,0.00010042768461593835,1.300591194324089,1.0,5.459759044596649e-05,5002.388592022735,70.7275659981505,0.003861554681607086,True,70.7275659981505
DESI_ceil,3.0,6506.063,0.00015,0.0,3,0.00015,12.557069918314655,0.3,0.00029694171706006026,518.1194813515268,22.762238056736134,0.006759058052697077,True,22.762238056736134
DESI_ceil,3.0,6506.063,0.00015,0.0,3,0.00015,12.557069918314655,0.5,0.0001932980599647266,518.1194813515268,22.762238056736134,0.004399896456822363,True,22.762238056736134
DESI_ceil,3.0,6506.063,0.00015,0.0,3,0.00015,12.557069918314655,0.8,0.00011186230322032788,518.1194813515268,22.762238056736134,0.002546236375475904,True,22.762238056736134
DESI_ceil,3.0,6506.063,0.00015,0.0,3,0.00015,12.557069918314655,1.0,8.154761904761904e-05,518.1194813515268,22.762238056736134,0.0018562063177219347,True,22.762238056736134
